date,province,quantile_01.0,quantile_02.5,quantile_25.0,median,quantile_75.0,quantile_97.5,quantile_99.0,mean
2019-12-15,Anhui,1,1,1,1,2,3,3.9000000000000057,1.5535714285714286
2019-12-15,Beijing,1,1,1,1,2,4,4.5,1.5294117647058822
2019-12-15,Chongqing,1,1,1,1,2,4,4.310000000000002,1.7428571428571429
2019-12-15,Fujian,1,1,1,1,1,1.375,1.75,1.0384615384615385
2019-12-15,Gansu,1,1,1,1,1,1.8499999999999996,1.9399999999999995,1.1428571428571428
2019-12-15,Guangdong,1,1,1,2,3,4,4.359999999999985,2.2289156626506026
2019-12-15,Guangxi,1,1,1,1,1,3,3,1.2564102564102564
2019-12-15,Guizhou,1,1,1,1,1,1,1,1
2019-12-15,Hainan,1,1,1,1,1,2,2,1.2105263157894737
2019-12-15,Hebei,1,1,1,1,1,1,1,1
2019-12-15,Heilongjiang,1,1,1,1,1,1.674999999999999,1.8699999999999992,1.0714285714285714
2019-12-15,Henan,1,1,1,2,2,3.075000000000003,4.460000000000008,1.8076923076923077
2019-12-15,Hong Kong,1,1,1,1,1,1,1,1
2019-12-15,Hubei,10.99,11.475,17,20,26,49.099999999999966,63.02000000000001,22.39
2019-12-15,Hunan,1,1,1,1.5,2,3,3.3499999999999943,1.6363636363636365
2019-12-15,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-15,Jiangsu,1,1,1,1,1,3,3,1.263157894736842
2019-12-15,Jiangxi,1,1,1,1,1,2,2.6000000000000014,1.2682926829268293
2019-12-15,Jilin,1,1,1,1,1,1,1,1
2019-12-15,Liaoning,1,1,1,1,1,2.5,2.8000000000000007,1.2380952380952381
2019-12-15,Ningxia,1,1,1,1,1,1,1,1
2019-12-15,Qinghai,1,1,1,1,1,1,1,1
2019-12-15,Shaanxi,1,1,1,1,1,2,2,1.2142857142857142
2019-12-15,Shandong,1,1,1,1,2,2.9750000000000014,3.5899999999999963,1.3571428571428572
2019-12-15,Shanghai,1,1,1,1,1,3.9499999999999957,4,1.3488372093023255
2019-12-15,Shanxi,1,1,1,1,1,2,2,1.1538461538461537
2019-12-15,Sichuan,1,1,1,1,1.5,3,3.539999999999999,1.3617021276595744
2019-12-15,Taiwan,1,1,1,1,1,1,1,1
2019-12-15,Tianjin,1,1,1,1,1,2,2,1.1111111111111112
2019-12-15,Xinjiang,1,1,1,1,1,1,1,1
2019-12-15,Yunnan,1,1,1,1,1,1,1,1
2019-12-15,Zhejiang,1,1,1,2,2,4,4.460000000000008,1.8846153846153846
2019-12-16,Anhui,1,1,1,1,2,3.4750000000000014,4.780000000000001,1.6935483870967742
2019-12-16,Beijing,1,1,1,1,2,4.649999999999999,5.460000000000001,1.7272727272727273
2019-12-16,Chongqing,1,1,1,2,3,4.200000000000003,5,2.0273972602739727
2019-12-16,Fujian,1,1,1,1,1,2,2,1.0666666666666667
2019-12-16,Gansu,1,1,1,1,1,1.8000000000000007,1.92,1.1111111111111112
2019-12-16,Guangdong,1,1,1,2,4,6,6.150000000000006,2.5232558139534884
2019-12-16,Guangxi,1,1,1,1,2,3,3,1.3478260869565217
2019-12-16,Guizhou,1,1,1,1,1,1,1,1
2019-12-16,Hainan,1,1,1,1,1,2.5,2.8000000000000007,1.2380952380952381
2019-12-16,Hebei,1,1,1,1,1,1,1,1
2019-12-16,Heilongjiang,1,1,1,1,1,2,2,1.2
2019-12-16,Henan,1,1,1,2,3,4.0249999999999915,5.4199999999999875,2.025
2019-12-16,Hong Kong,1,1,1,1,1,1,1,1
2019-12-16,Hubei,12.979999999999999,14,19.75,23,30,54.04999999999998,69.07000000000004,25.75
2019-12-16,Hunan,1,1,1,2,2,3.299999999999997,4.319999999999993,1.7681159420289856
2019-12-16,Inner Mongolia,1,1,1,1,1,1,1,1
2019-12-16,Jiangsu,1,1,1,1,1,3,3,1.3095238095238095
2019-12-16,Jiangxi,1,1,1,1,2,3,3.5799999999999983,1.3953488372093024
2019-12-16,Jilin,1,1,1,1,1,1,1,1
2019-12-16,Liaoning,1,1,1,1,2,2.5,2.8000000000000007,1.3333333333333333
2019-12-16,Ningxia,1,1,1,1,1,1,1,1
2019-12-16,Qinghai,1,1,1,1,1,1,1,1
2019-12-16,Shaanxi,1,1,1,1,1,2,2,1.2272727272727273
2019-12-16,Shandong,1,1,1,1,2,3,3.549999999999997,1.4130434782608696
2019-12-16,Shanghai,1,1,1,1,2,3.799999999999997,4,1.4489795918367347
2019-12-16,Shanxi,1,1,1,1,1,2,2,1.1538461538461537
2019-12-16,Sichuan,1,1,1,1,2,3,3.980000000000004,1.3846153846153846
2019-12-16,Taiwan,1,1,1,1,1,1,1,1
2019-12-16,Tianjin,1,1,1,1,1,2,2,1.1428571428571428
