"","alpha","sigma"
"1",2.24884741221338,6.86821884918003
"2",2.89760840128206,6.2774704890365
"3",2.83865261354794,6.61388091613172
"4",1.99700085166246,8.11214587541714
"5",2.41743391272763,7.21053682660986
"6",2.96341495753792,6.63038176526581
"7",3.40512606737412,6.41963803715556
"8",1.97659888484641,6.40045575622842
"9",2.79157414717556,5.86196437120172
"10",2.55489705547985,5.55444420198898
"11",2.50715934291489,5.51132520191487
"12",1.70660248827494,6.00375823900786
"13",2.38894698194927,5.23403667335003
"14",1.87552192320992,7.11144568413165
"15",1.60874876768758,8.41639425843574
"16",2.30387866490318,5.2329144764584
"17",1.64193594269753,8.80066179644576
"18",1.72103390482334,5.88615232997551
"19",1.81830279868093,6.74646056658271
"20",2.68644514309557,6.11751293718513
"21",1.91923364859436,6.70110404682726
"22",2.51541941159144,6.43344060082744
"23",1.59218845069765,5.21147029543459
"24",3.22089097171655,5.90250313584846
"25",1.91204936356263,5.45524250931295
"26",3.30357441822478,5.80440708859847
"27",2.64319054545951,6.35757540554878
"28",2.75185686021176,6.19758303537647
"29",2.06674262524538,5.67676315460896
"30",2.09207269067107,6.61919615837219
"31",1.97454732859421,5.96035706024328
"32",3.77413062753448,7.44564948088974
"33",1.75093127026049,6.58228533497077
"34",3.10820018615296,5.71126849625868
"35",2.09044974081113,5.86075010637172
"36",2.46476696471315,7.06495713594104
"37",2.08162923650716,6.32181848754522
"38",2.02271314543201,6.37718895063897
"39",2.69558168362191,6.59636624292001
"40",2.29074632508886,8.95655513588581
"41",2.52967187276712,7.25937810423544
"42",2.28182072241031,7.80878177914177
"43",2.28282202276998,6.68650755953187
"44",1.75285600428895,5.05142747339948
"45",1.59016423715818,6.03933133804949
"46",3.69566945226108,6.95427553556042
"47",1.48603988520861,7.62683360042387
"48",1.52003282235106,9.32354279261756
"49",2.56688201258713,5.40454978305421
"50",2.45689531588766,6.40599882332219
"51",2.49032410058897,5.86445087585877
"52",2.07946317089372,6.54132403906401
"53",2.63969146320331,5.97692298377466
"54",2.45017367213567,6.32096036553906
"55",1.85525694548886,6.57823521852609
"56",2.44392977595572,5.4922615002904
"57",2.78912225390169,6.5520332798078
"58",1.50132447188679,5.87313361251935
"59",2.48569432885546,6.65571769798785
"60",1.91211827153034,6.24654975041569
"61",3.02057894493772,5.34654899804945
"62",1.89923122121171,6.53514757757885
"63",2.37309061362244,7.16195153486813
"64",1.81486442244638,7.68394806076581
"65",2.8439445269753,5.5684695538023
"66",2.00198255810088,5.66297923593521
"67",2.05291390893343,6.77663026474839
"68",2.09286204045203,6.27787421583894
"69",2.20150605352368,6.96001101701511
"70",3.36734826211615,8.03822285296451
"71",3.62056547032753,6.38436308144794
"72",2.54303239568253,5.63733684802809
"73",1.62187523600017,5.84109472910374
"74",2.93115354106211,4.67921534468001
"75",1.67316466543526,6.97387130736738
"76",2.19058676397079,6.54380847214404
"77",2.20287627590098,8.42169444716926
"78",1.93522289343973,10.4335645601188
"79",2.71741245074342,5.83366370352954
"80",3.13813031081339,6.20169220808721
"81",2.85803316103052,6.47238128618805
"82",3.30883427898526,6.65591230348939
"83",2.70504383546827,6.54414895448569
"84",2.80541476517058,6.24905061517437
"85",1.75049044870888,6.32766100199753
"86",1.85188204379593,5.55234485036027
"87",2.34282385194625,6.86541261058009
"88",3.49595051483952,6.71427570826397
"89",2.19420328407037,9.1898014412954
"90",2.543868412729,5.6296777101218
"91",2.11379317560383,6.62122025042655
"92",2.22753717192086,6.28727048608688
"93",3.01085912662772,6.3044694774331
"94",2.60291766118136,6.80296721940868
"95",3.07897790542791,6.37493471854369
"96",2.43615984203937,5.55872444975102
"97",1.37654346151031,10.0056589024089
"98",1.64585557189816,8.06868173783512
"99",1.75148790029997,5.36883586406116
"100",2.1875903401055,7.93064256729974
"101",2.20607772452777,5.41148176915686
"102",1.21013886159565,6.07128623691004
"103",1.91563325703983,8.67052517141918
"104",2.68307584131708,5.89647783104766
"105",3.69851390191335,6.40894591774233
"106",2.49798609772051,7.09885247715937
"107",1.38487614379614,7.234267315106
"108",1.59155540416896,6.16052944322152
"109",3.49531836858823,6.34929791416989
"110",2.12320073258958,6.6626394181468
"111",2.00076029214414,5.33924619025625
"112",1.7641200940126,5.86424553739934
"113",2.96023062509794,6.91142638339149
"114",2.27612630909197,5.6340883324839
"115",2.48985344453888,5.1637452519387
"116",3.14436290068977,5.95314779692654
"117",2.57702897208689,7.52670445608383
"118",1.82597368125397,7.45136226811494
"119",2.81995039301589,7.89873893657937
"120",3.60513751472638,7.15699910117504
"121",1.12868661597152,4.84385054276312
"122",3.28769134099151,6.25476902494341
"123",2.92906295613123,5.97839179328239
"124",3.20141355889167,6.47062102493931
"125",1.79577784584621,6.72107448996395
"126",2.51697626800464,5.6775359612424
"127",1.86442439876759,6.55567607313714
"128",1.58203316062401,7.45915231538837
"129",2.67320720811015,7.87877120053742
"130",2.12486045278059,5.70648248346208
"131",2.46501198116209,6.10619752629051
"132",1.82389838880651,6.0972198069096
"133",2.33582451702762,6.60023650717929
"134",2.73459716187215,8.42590993595249
"135",3.83638374911429,6.84285233306849
"136",2.21826801987808,5.52560708879517
"137",2.71726706184992,6.01547509173912
"138",1.8761893313893,6.05147727126966
"139",2.58318122758761,5.86774377030625
"140",2.86608266104678,5.68757896346847
"141",1.95432021705521,6.74221417710613
"142",2.10992002280379,6.21385668152421
"143",2.53938411218933,7.94358223127379
"144",2.85043526706488,6.37181739011869
"145",2.29829968748109,7.791389131914
"146",2.06200075386571,7.88197396708202
"147",2.50407124438635,6.6049816221161
"148",1.76900341072573,6.03722139096234
"149",2.45980738480766,6.2426671065073
"150",2.00682934887909,6.82583526990544
"151",2.63035948871427,5.98800399062091
"152",2.4655367819995,5.42947765959796
"153",1.70794119197237,10.8964275666195
"154",1.65152025354299,7.61361096227642
"155",3.05576853746438,6.06596814059944
"156",1.61001310268479,6.22401252116987
"157",3.57948238284456,6.10490375244602
"158",1.94318226244918,6.0099236183905
"159",2.71302983734223,6.87673805407205
"160",2.25926446796999,5.75935165069152
"161",1.60459122451326,8.53239761543861
"162",2.12350124062613,7.30278642227437
"163",2.39193749258698,6.30059364998666
"164",2.52846401818276,5.37693746980869
"165",2.04865811797589,5.10400678051095
"166",1.48719467849966,8.69079987945991
"167",2.26148102052351,7.02806963466659
"168",2.28543603671651,5.67687243053983
"169",2.79369158025763,5.56141784062808
"170",1.58433265946455,6.79665200934084
"171",3.2937655461932,6.77063940923528
"172",1.48417630928873,7.46607519309358
"173",2.91594387489119,6.44669652052142
"174",2.28929067685937,5.7266694804855
"175",1.67333742059891,6.26332942466185
"176",1.55148205768446,8.82343005364848
"177",1.43560025422676,8.98499081118795
"178",2.58253477781521,6.65758187573472
"179",2.89390839959055,6.3994498507981
"180",1.45297714042776,5.45837299424525
"181",2.58116447764847,6.18563648523407
"182",2.96090638988402,6.62888705423289
"183",2.92049836378009,6.23481245593059
"184",1.98681134457773,6.5864427018963
"185",1.3506992263657,6.07343759734396
"186",1.94957393718315,6.65525586319814
"187",2.56677545416365,6.93470910297019
"188",2.2224131390122,7.00951201981614
"189",2.75568416774604,5.63136843755639
"190",1.88362139164768,7.26300001858377
"191",3.77702522092062,6.44986785009154
"192",1.37099880484903,5.40386915517938
"193",2.74966219029828,6.59473564050318
"194",2.71352541274834,5.56319820748467
"195",2.20031190878831,5.64889639842284
"196",2.4778022083144,6.44535374999809
"197",2.60335477422909,6.87405182516072
"198",3.21812492021049,7.21158211759256
"199",2.36966206068502,5.67653465979448
"200",2.92356308735596,6.97106041202711
"201",1.7864733519896,6.73964487392975
"202",2.22109805617065,5.48859266271644
"203",2.21919686490896,5.6557946126051
"204",2.07025496901929,6.93654148523858
"205",1.87516019007434,6.40390612557622
"206",3.18711582977105,7.17072010208038
"207",1.46278676472855,5.17663903792861
"208",1.87528636679114,7.95534684730362
"209",2.74342787364202,6.49138865708941
"210",2.80306903968852,6.73651276872647
"211",2.09334012312016,5.88153406568909
"212",2.12731684932323,5.15581224151238
"213",3.1683537390524,6.32555376407759
"214",1.94123329644778,7.22800252637825
"215",2.45193299578567,7.57625602678036
"216",2.70467782510331,5.17207367554375
"217",3.09009948124094,6.77101141004781
"218",2.20586265386919,6.93220740732894
"219",2.81277133156121,5.51987601663376
"220",1.83457779833268,6.31047772279066
"221",2.48013009177698,7.03230644338516
"222",1.09059091739959,9.14988138806863
"223",3.18454356671251,5.88499393914417
"224",1.83522697797237,6.11997315315872
"225",3.04782518182271,6.0596054578929
"226",2.77817552454967,5.91152748531522
"227",1.61669936396883,5.63802112534398
"228",2.52252374524393,6.44002157256967
"229",2.67522112927439,5.76848592740211
"230",2.18746510313916,6.86178405278362
"231",1.58973401232897,9.29239906720068
"232",2.30965441838211,6.4913237835658
"233",2.14252530600353,6.5664901044491
"234",2.27118825431377,6.45285819262312
"235",1.34902376810784,6.87993434649596
"236",2.47311764685177,6.14445627272992
"237",3.01326650771526,5.56757652105493
"238",2.94660343892181,6.03994089599321
"239",2.52904489507978,7.03855567975257
"240",2.80227350976026,5.55697889845431
"241",4.40048709560383,5.79987983202429
"242",2.66283743792276,6.56969054664953
"243",3.37667321043054,6.75648339460803
"244",1.68023380390665,4.68094138630152
"245",2.64402001115602,7.56748398550548
"246",2.79004090564033,5.82261083940946
"247",1.89183673266617,5.92838341951043
"248",2.35557159120361,5.76884061720583
"249",2.42653676909222,5.08912760507272
"250",1.78825567542826,5.85678195248746
"251",1.62341756629588,7.255292047219
"252",2.41320923006441,5.88986805291449
"253",2.05594368111431,6.92235938606176
"254",1.33748315302072,11.7297310407672
"255",2.35979143110267,6.48149785934451
"256",2.54199103816693,6.30359425900108
"257",3.21088811431296,7.32412711378827
"258",2.37788479005146,5.50696053647874
"259",2.17276879336,5.52757399868183
"260",3.36687149312543,6.16792119107155
"261",3.22276161651991,6.48775630905268
"262",1.57154939386598,10.990405430697
"263",2.19047162991202,7.01886736996237
"264",1.91084459728956,6.52135183306381
"265",2.00206068404666,7.06895135022732
"266",1.57680969306957,5.94975921958933
"267",1.86215341822649,6.9369588331696
"268",1.96307412040367,6.00396412741897
"269",3.0749198192915,7.28549927443916
"270",2.48039476690034,6.21790702468536
"271",2.44304594261633,5.33193884095768
"272",2.28301920302955,5.86464735630152
"273",1.92115517811375,5.0617535046251
"274",2.37789667584646,6.50441565657458
"275",2.23779930919139,8.0583122009013
"276",1.61942269890931,5.46305752308961
"277",1.26439891316554,7.61573121954744
"278",2.20171619368917,6.26847664697501
"279",1.81940368320089,5.99493025938732
"280",2.14883653412546,6.45208642981206
"281",2.4854484663205,5.21249304627974
"282",1.37833659596889,6.42732932965083
"283",1.23820229478434,7.42451231380232
"284",3.29997440707068,7.10771333384
"285",1.9192658985776,4.33174096891334
"286",2.10267039511025,7.86725799835254
"287",1.92396405209604,5.38525397705426
"288",1.25346739699079,8.43206920240392
"289",2.46528645417262,5.98906328981736
"290",2.54238229547707,5.33011505192888
"291",1.1764161419185,5.90153541866252
"292",1.98266335533899,7.40667463695879
"293",1.66329903077671,6.95982702969436
"294",3.47903677751171,6.86738846977983
"295",1.87385893540315,7.47908208212022
"296",2.29899933703845,5.08868774002046
"297",1.8939730649138,5.81568837276166
"298",2.12731151747563,7.66833304401417
"299",2.51871850227322,6.42563812022863
"300",2.47996116715951,7.38392120497139
"301",1.78571516284624,4.94613675004986
"302",1.9352977215605,6.34600363163959
"303",2.23140378041489,7.6640455411815
"304",1.8560902215877,6.93879875115414
"305",2.23158349053011,5.69788395352222
"306",3.19074269528812,6.11539270056219
"307",2.64244798710555,6.52775507592002
"308",2.16246854421336,6.52997607524209
"309",3.24332604747923,6.20607938289807
"310",2.25526856841731,7.47645700955859
"311",3.39181864209902,6.80298504546987
"312",3.5182531863566,6.230511839377
"313",2.75071027268551,6.01764832845452
"314",1.87409079318241,5.9872724893499
"315",1.63803458584139,6.9164800870399
"316",2.1662433114926,6.22341754142272
"317",1.93541973266577,5.74441644783998
"318",1.49411368057211,6.60179607955006
"319",3.43763802037114,6.74316412964985
"320",2.71260489984337,6.57191396582509
"321",1.54617195268399,8.8139233611186
"322",1.56289760185746,5.65436885857396
"323",2.86560043450005,5.76598238746303
"324",2.56026080744662,6.33413717921263
"325",3.11528801769538,6.17094310899762
"326",1.69605487938637,6.39790469260794
"327",2.38458193366873,6.75049062773049
"328",2.67744188526983,6.46402695169758
"329",2.57991830325189,6.19388320887503
"330",2.03521839017388,6.84431234550484
"331",2.83966948995277,5.21941684792113
"332",1.50624053365265,6.19795308674157
"333",1.90381435600908,5.20474302209429
"334",1.6378633812551,5.5523835615465
"335",1.94128373825233,8.32327227920891
"336",2.49599155323325,5.5705989886547
"337",2.21562118450983,5.86002752673843
"338",2.04486530056619,9.13873031413724
"339",1.86652332609626,5.28806084145907
"340",2.32767466450512,6.22005450121525
"341",2.89167606452839,5.38546080303272
"342",2.30116190848863,6.29263855884402
"343",1.986304778839,7.75831538909836
"344",3.71568734791951,5.99249851661757
"345",2.81143613765056,6.65620787863409
"346",2.49183707880838,5.70618473433409
"347",3.27501690667016,6.00440736320644
"348",1.94649190711795,5.93426495226501
"349",2.90525003701441,6.80332795559058
"350",1.65575879769613,7.09244502737186
"351",3.64005251436457,6.69762704494218
"352",3.11699144810905,6.96693665433903
"353",1.90502911784033,6.0456356989315
"354",2.56313974179694,6.89668467442988
"355",2.29356284633817,5.46007304516858
"356",2.35592625651916,5.47085479550991
"357",1.68437026640553,7.10668111556141
"358",2.43789184625999,6.18463259668754
"359",2.05266911921052,7.19362158396075
"360",2.91595190293687,6.27377858441953
"361",1.96492384835692,5.90354092267619
"362",1.9251678386328,8.44964349050822
"363",3.83938089173609,6.87576011572293
"364",1.85933448659183,8.70544820307141
"365",2.61234216659377,6.82651375767518
"366",2.01820134013522,5.6901251908368
"367",2.97137552537643,5.60861713979974
"368",2.54784778087182,7.8380703082114
"369",2.46089312175672,5.6503412996597
"370",4.61876891515159,7.79691003542812
"371",2.61184258421197,6.09134009665034
"372",1.87915604019082,6.03417634916702
"373",2.12256083193888,6.7298994537883
"374",2.1132041459487,6.29072207633447
"375",2.65182277489264,7.53074003887574
"376",2.85714200216544,7.11172113190922
"377",2.80299416650716,6.27042409375656
"378",2.29786512711151,5.7892370489917
"379",2.21454481398174,7.0638234366011
"380",2.0979368806385,7.17794502897519
"381",2.01011767333644,6.48258106917074
"382",2.15443927093008,7.9441290204346
"383",2.81132830972177,7.20005706809364
"384",1.36173195740524,7.1134366422173
"385",1.60881763520317,6.70130970893408
"386",2.44770702553227,6.85298995765684
"387",2.17622106522038,7.49454798806576
"388",1.62542538087941,8.209020479344
"389",2.22798750507822,5.48865897940353
"390",3.38992752597017,7.08110327290754
"391",3.74257528524601,6.57158117715814
"392",1.692731736701,8.32683780241202
"393",2.80094322861574,6.48741703081503
"394",2.32376476635375,6.83700754772449
"395",2.03595813872718,8.44431123570892
"396",4.06153532301301,7.32073995549115
"397",1.89460670473017,6.098861547182
"398",1.92234288773369,6.75571704266835
"399",2.64038917730523,6.28367132191949
"400",2.44826296003908,6.50781342170867
"401",3.21066051256628,5.55790325467112
"402",2.87736274647347,6.49668960244842
"403",2.8752196983387,6.43726463287737
"404",1.81333669961212,6.93817718414173
"405",2.53087144008436,5.32777658696383
"406",2.27798510981975,6.21880973675146
"407",2.99080989612475,6.27991284005548
"408",2.00252841995684,5.9957083324548
"409",1.78795077474239,6.24007641762957
"410",1.79584095902207,7.67145546776422
"411",2.24699724561601,6.47205247336949
"412",2.11943486835145,9.67403606046903
"413",2.25304367810798,6.7582747196393
"414",1.19189166788677,6.43617080819794
"415",2.63308209587022,6.35968745362433
"416",2.38178515358646,6.61559337942453
"417",2.35181899219061,5.35383309131791
"418",2.47817619405381,6.99396311684729
"419",3.2346110545644,5.7870658369054
"420",3.46326841981298,6.07876306365644
"421",1.81411462733396,7.08730494332285
"422",1.83215003369081,7.60406482624047
"423",3.14406966652102,6.06070700677748
"424",1.81564036951664,8.81821533763265
