date,raw,round,round_pos
12/1/2019,-0.411033285,0,0
12/2/2019,-0.411033285,0,0
12/3/2019,-0.411033285,0,0
12/4/2019,-0.411033285,0,0
12/5/2019,-0.411033285,0,0
12/6/2019,-0.411033285,0,0
12/7/2019,-0.411033285,0,0
12/8/2019,-0.411033285,0,0
12/9/2019,-0.411033285,0,0
12/10/2019,-0.411033285,0,0
12/11/2019,-0.411033285,0,0
12/12/2019,-0.411033285,0,0
12/13/2019,-0.411033285,0,0
12/14/2019,-0.411033285,0,0
12/15/2019,-0.411033285,0,0
12/16/2019,-0.411033285,0,0
12/17/2019,-0.411033285,0,0
12/18/2019,-0.411033285,0,0
12/19/2019,-1.481483439,0,0
12/20/2019,3.87076733,3.87076733,4
12/21/2019,0.659416869,0.659416869,1
12/22/2019,4.941217484,4.941217484,5
12/23/2019,-1.481483439,0,0
12/24/2019,-1.481483439,0,0
12/25/2019,-0.411033285,0,0
12/26/2019,-0.411033285,0,0
12/27/2019,-0.411033285,0,0
12/28/2019,2.800317176,2.800317176,3
12/29/2019,2.800317176,2.800317176,3
12/30/2019,3.87076733,3.87076733,4
12/31/2019,6.011667638,6.011667638,6
1/1/2020,18.85706948,18.85706948,19
1/2/2020,14.57526887,14.57526887,15
1/3/2020,17.78661933,17.78661933,18
1/4/2020,17.78661933,17.78661933,18
1/5/2020,31.70247133,31.70247133,32
1/6/2020,25.27977041,25.27977041,25
1/7/2020,25.27977041,25.27977041,25
1/8/2020,57.39327502,57.39327502,57
1/9/2020,52.04102425,52.04102425,52
1/10/2020,101.2817313,101.2817313,101
1/11/2020,89.50677963,89.50677963,90
1/12/2020,85.22497902,85.22497902,85
1/13/2020,98.07038086,98.07038086,98
1/14/2020,98.07038086,98.07038086,98
1/15/2020,165.5087405,165.5087405,166
1/16/2020,153.7337889,153.7337889,154
1/17/2020,202.9744959,202.9744959,203
1/18/2020,178.3541424,178.3541424,178
1/19/2020,206.1858464,206.1858464,206
1/20/2020,241.5107015,241.5107015,242
1/21/2020,229.7357498,229.7357498,230
1/22/2020,267.2015052,267.2015052,267
1/23/2020,342.1330159,342.1330159,342
1/24/2020,255.4265535,255.4265535,255
1/25/2020,208.3267467,208.3267467,208
