raw,date,round,round_pos
-1.267393408,12/1/2019,-1,0
-2.551933593,12/2/2019,-3,0
-1.267393408,12/3/2019,-1,0
0.017146776,12/4/2019,0,0
1.301686961,12/5/2019,1,1
-1.267393408,12/6/2019,-1,0
-2.551933593,12/7/2019,-3,0
1.301686961,12/8/2019,1,1
-1.267393408,12/9/2019,-1,0
1.301686961,12/10/2019,1,1
1.301686961,12/11/2019,1,1
-1.267393408,12/12/2019,-1,0
2.586227145,12/13/2019,3,3
-1.010485371,12/14/2019,-1,0
0.839252495,12/15/2019,1,1
0.839252495,12/16/2019,1,1
4.538728226,12/17/2019,5,5
0.839252495,12/18/2019,1,1
0.839252495,12/19/2019,1,1
8.238203957,12/20/2019,8,8
2.68899036,12/21/2019,3,3
8.238203957,12/22/2019,8,8
4.538728226,12/23/2019,5,5
0.839252495,12/24/2019,1,1
2.68899036,12/25/2019,3,3
2.68899036,12/26/2019,3,3
8.238203957,12/27/2019,8,8
6.388466092,12/28/2019,6,6
8.238203957,12/29/2019,8,8
6.388466092,12/30/2019,6,6
6.388466092,12/31/2019,6,6
50.78217487,1/1/2020,51,51
39.68374767,1/2/2020,40,40
43.38322341,1/3/2020,43,43
39.68374767,1/4/2020,40,40
65.58007779,1/5/2020,66,66
58.18112633,1/6/2020,58,58
76.67850499,1/7/2020,77,77
119.2224759,1/8/2020,119,119
113.6732623,1/9/2020,114,114
195.0617284,1/10/2020,195,195
176.5643497,1/11/2020,177,177
202.4606799,1/12/2020,202,202
237.6056993,1/13/2020,238,238
278.2999324,1/14/2020,278,278
370.7868256,1/15/2020,371,371
420.729748,1/16/2020,421,421
516.916117,1/17/2020,517,517
500.2684762,1/18/2020,500,500
546.5119229,1/19/2020,547,547
670.4443599,1/20/2020,670,670
692.6412143,1/21/2020,693,693
753.6825638,1/22/2020,754,754
962.7029427,1/23/2020,963,963
820.273127,1/24/2020,820,820
759.2317774,1/25/2020,759,759
