date_of_report,extracted_cumu,round_and_modified_cumu,diff
1/1/2020,NA,21,0
1/2/2020,NA,71,50
1/3/2020,NA,86,15
1/4/2020,NA,86,0
1/5/2020,NA,86,0
1/6/2020,NA,86,0
1/7/2020,NA,86,0
1/8/2020,NA,86,0
1/9/2020,NA,86,0
1/10/2020,0,86,0
1/11/2020,-16.89210247,86,0
1/12/2020,-34.38972048,86,0
1/13/2020,90.12386355,114,28
1/14/2020,80.94317949,114,0
1/15/2020,88.45869583,114,0
1/16/2020,79.25129785,174,60
1/17/2020,103.5253471,315,141
1/18/2020,161.2096063,315,0
1/19/2020,240.7285381,316,1
1/20/2020,310.0328581,318,2
1/21/2020,585.1328127,595,277
1/22/2020,609.3712434,609,14
1/23/2020,859.3779218,859,250
1/24/2020,1335.161753,1315,456
1/25/2020,2019.955299,2016,701
1/26/2020,2813.447788,2798,782
1/27/2020,4593.627839,4594,1796
1/28/2020,NA,6044,1450
